name,symbol,current_price,market_cap,total_volume
Bitcoin,btc,66891.0,1338480834804,26532576822
Ethereum,eth,2051.5,247598848451,10134554129
Tether,usdt,0.999877,184146012322,40755746220
XRP,xrp,1.32,80864440587,1405998000
BNB,bnb,587.13,80070015310,613673430
USDC,usdc,1.0,77541550498,6511451585
Solana,sol,80.15,45910812247,2369421288
TRON,trx,0.315248,29874474128,409517169
Figure Heloc,figr_heloc,1.032,16956917457,42283436
Dogecoin,doge,0.091583,14078362162,678341652
USDS,usds,1.0,11813179769,54750732
WhiteBIT Coin,wbt,51.18,10922542641,44726906
LEO Token,leo,10.04,9253192503,329515
Cardano,ada,0.246392,9089067782,388734898
Bitcoin Cash,bch,443.32,8873347433,129696452
Hyperliquid,hype,35.66,8499784183,155159181
Chainlink,link,8.65,6292630464,180566331
Ethena USDe,usde,0.999509,5887553570,141927336
Monero,xmr,316.81,5844583793,84433598
Stellar,xlm,0.163108,5395556261,76924171
